Name,State,FR Ld,RF Ld,IR Ld,MAR Ld,MDR Ld,R/W,MOV,MA 1,MA 0,MB 1,MB 0,MC 1,MC 0,MD,ME,OP 4,OP 3,OP 2,OP 1,OP0 ,DT 1,DT 0
LDRSB R - POS,343,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,344,,1,,,,1,1,0,0,,,1,0,1,,0,0,0,1,0,,
,345,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,346,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSH Imm - OFF,347,,,,1,,,,0,0,0,1,,,1,,0,0,0,1,0,,
,348,,,,,,1,1,,,,,,,,,,,,,,,
,349,,,,,1,1,1,,,,,,,,0,,,,,,0,1
,350,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSH R - OFF,351,,,,1,,,,0,0,0,1,,,1,,0,0,0,1,0,,
,352,,,,,,1,1,,,,,,,,,,,,,,,
,353,,,,,1,1,1,,,,,,,,0,,,,,,0,1
,354,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSH Imm - PRE,355,,1,,1,,,,0,0,0,1,1,0,1,,0,0,0,1,0,,
,356,,,,,,1,1,,,,,,,,,,,,,,,
,357,,,,,1,1,1,,,,,,,,0,,,,,,0,1
,358,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSH R - PRE,359,,1,,1,,,,0,0,0,1,1,0,1,,0,0,0,1,0,,
,360,,,,,,1,1,,,,,,,,,,,,,,,
,361,,,,,1,1,1,,,,,,,,0,,,,,,0,1
,362,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSH Imm - POS,363,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
